Geneid	17-FC
ENSRNOG00000055547	96
ENSRNOG00000048297	66
ENSRNOG00000060475	40
ENSRNOG00000017367	0
ENSRNOG00000049044	0
ENSRNOG00000011243	1
ENSRNOG00000011310	1328
ENSRNOG00000012229	1
ENSRNOG00000024172	4
ENSRNOG00000024149	78
ENSRNOG00000024140	529
ENSRNOG00000012415	1308
ENSRNOG00000012964	2
ENSRNOG00000055093	280
ENSRNOG00000013190	328
ENSRNOG00000057484	4
ENSRNOG00000052521	0
ENSRNOG00000013194	1884
ENSRNOG00000060227	0
ENSRNOG00000039255	2
ENSRNOG00000013374	0
ENSRNOG00000033901	0
ENSRNOG00000047027	0
ENSRNOG00000053284	0
ENSRNOG00000023753	1610
ENSRNOG00000051938	22
ENSRNOG00000058564	12
ENSRNOG00000056439	0
ENSRNOG00000054756	0
ENSRNOG00000052956	0
ENSRNOG00000059551	0
ENSRNOG00000051553	0
ENSRNOG00000059913	0
ENSRNOG00000055136	0
ENSRNOG00000053004	0
ENSRNOG00000061719	0
ENSRNOG00000060438	35
ENSRNOG00000055577	0
ENSRNOG00000046250	1
ENSRNOG00000052093	0
ENSRNOG00000054056	0
ENSRNOG00000030145	0
ENSRNOG00000055830	1
ENSRNOG00000052700	0
ENSRNOG00000059261	0
ENSRNOG00000057320	0
ENSRNOG00000054834	0
ENSRNOG00000013671	0
ENSRNOG00000022921	1012
ENSRNOG00000014166	11
ENSRNOG00000061057	0
ENSRNOG00000010529	156
ENSRNOG00000058989	3
ENSRNOG00000061383	0
ENSRNOG00000015609	222
ENSRNOG00000059948	1
ENSRNOG00000055517	0
ENSRNOG00000053938	1
ENSRNOG00000058803	0
ENSRNOG00000060933	0
ENSRNOG00000051787	2
ENSRNOG00000015597	412
ENSRNOG00000061312	539
ENSRNOG00000015293	10
ENSRNOG00000015230	387
ENSRNOG00000059984	87
ENSRNOG00000058790	2038
ENSRNOG00000001488	1448
ENSRNOG00000001489	308
ENSRNOG00000001490	232
ENSRNOG00000021493	18
ENSRNOG00000056729	7
ENSRNOG00000014434	578
ENSRNOG00000048190	656
ENSRNOG00000052286	0
ENSRNOG00000061593	0
ENSRNOG00000056478	1
ENSRNOG00000057242	0
ENSRNOG00000012692	282
ENSRNOG00000012988	1356
ENSRNOG00000047387	1
ENSRNOG00000035654	5
ENSRNOG00000035453	1
ENSRNOG00000035572	1
ENSRNOG00000039076	403
ENSRNOG00000010994	100
ENSRNOG00000011174	17
ENSRNOG00000060169	0
ENSRNOG00000042605	1
ENSRNOG00000045732	0
ENSRNOG00000052154	0
ENSRNOG00000061043	0
ENSRNOG00000011234	33
ENSRNOG00000051757	0
ENSRNOG00000054409	0
ENSRNOG00000052260	0
ENSRNOG00000060271	0
ENSRNOG00000055538	0
ENSRNOG00000056833	0
ENSRNOG00000047498	0
ENSRNOG00000011282	8394
ENSRNOG00000050623	2
ENSRNOG00000060596	0
ENSRNOG00000059492	301
ENSRNOG00000032996	0
ENSRNOG00000028807	0
ENSRNOG00000060716	0
ENSRNOG00000052406	97
ENSRNOG00000051578	24
ENSRNOG00000042347	47
ENSRNOG00000042826	42
ENSRNOG00000060256	5
ENSRNOG00000058436	19
ENSRNOG00000043341	75
ENSRNOG00000042547	2
ENSRNOG00000025949	0
ENSRNOG00000047128	0
ENSRNOG00000058030	120
ENSRNOG00000057250	58
ENSRNOG00000051570	25
ENSRNOG00000054919	0
ENSRNOG00000055824	0
ENSRNOG00000047884	18
ENSRNOG00000026569	232
ENSRNOG00000028767	3
ENSRNOG00000051875	0
ENSRNOG00000061533	132
ENSRNOG00000059824	17
ENSRNOG00000055124	46
ENSRNOG00000011675	257
ENSRNOG00000029458	0
ENSRNOG00000058286	0
ENSRNOG00000054736	0
ENSRNOG00000047616	0
ENSRNOG00000060529	0
ENSRNOG00000053825	0
ENSRNOG00000054778	0
ENSRNOG00000056653	0
ENSRNOG00000055843	0
ENSRNOG00000058214	0
ENSRNOG00000057219	0
ENSRNOG00000055529	0
ENSRNOG00000009146	0
ENSRNOG00000058087	0
ENSRNOG00000054954	2
ENSRNOG00000053260	4
ENSRNOG00000058538	0
ENSRNOG00000058909	54
ENSRNOG00000055179	4
ENSRNOG00000052600	167
ENSRNOG00000059741	1
ENSRNOG00000058422	1
ENSRNOG00000059572	38
ENSRNOG00000054459	8
ENSRNOG00000061893	135
ENSRNOG00000053234	1047
ENSRNOG00000060004	1
ENSRNOG00000061039	480
ENSRNOG00000056098	294
ENSRNOG00000060293	318
ENSRNOG00000055716	16
ENSRNOG00000055796	0
ENSRNOG00000055581	0
ENSRNOG00000057852	6
ENSRNOG00000057848	1883
ENSRNOG00000054831	0
ENSRNOG00000056257	2133
ENSRNOG00000054371	7696
ENSRNOG00000053450	1671
ENSRNOG00000053124	0
ENSRNOG00000055798	0
ENSRNOG00000056884	1
ENSRNOG00000060745	4
ENSRNOG00000060612	0
ENSRNOG00000057399	0
ENSRNOG00000057453	0
ENSRNOG00000056886	0
ENSRNOG00000060727	0
ENSRNOG00000051974	0
ENSRNOG00000056469	0
ENSRNOG00000054438	0
ENSRNOG00000048635	0
ENSRNOG00000056036	134
ENSRNOG00000056327	4
ENSRNOG00000057050	6
ENSRNOG00000055298	4
ENSRNOG00000054417	1
ENSRNOG00000048100	1
ENSRNOG00000046198	0
ENSRNOG00000027550	801
ENSRNOG00000027514	2326
ENSRNOG00000043328	838
ENSRNOG00000027487	2203
ENSRNOG00000027459	457
ENSRNOG00000019626	7
ENSRNOG00000060429	201
ENSRNOG00000019623	121
ENSRNOG00000027436	141
ENSRNOG00000051968	0
ENSRNOG00000038445	3
ENSRNOG00000019453	926
ENSRNOG00000031113	176
ENSRNOG00000031459	172
ENSRNOG00000031328	398
ENSRNOG00000045583	13
ENSRNOG00000019376	519
ENSRNOG00000026861	482
ENSRNOG00000050831	0
ENSRNOG00000047703	1
ENSRNOG00000046317	0
ENSRNOG00000019280	19
ENSRNOG00000019127	172
ENSRNOG00000048663	0
ENSRNOG00000046802	0
ENSRNOG00000049902	0
ENSRNOG00000055247	1
ENSRNOG00000060288	1
ENSRNOG00000033061	0
ENSRNOG00000057670	0
