baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSRNOG00000002135	1944.68101560909	-0.241156745652266	0.063070276123664	-3.82361962677033	0.000131506741801553	0.00703073146098058
ENSRNOG00000002145	110.368905154074	-0.617567413294247	0.184537675735438	-3.34656546872099	0.000818193562832583	0.0229245714919574
ENSRNOG00000002225	2746.65182946582	-0.313700461275389	0.0565949951508848	-5.54290110705106	2.97500900346576e-08	9.78519265705151e-06
ENSRNOG00000002270	2924.59647178735	-0.281872944299097	0.0610211070534715	-4.61926959227563	3.85093240215374e-06	0.000495518736287126
ENSRNOG00000002365	1113.53929323102	-0.529273231887046	0.17567054759711	-3.01287403680725	0.0025878630832938	0.0465948354221473
ENSRNOG00000002368	963.481482507539	-0.264219922865416	0.0741866775524686	-3.56155487187772	0.000368665037526978	0.0140344223060637
ENSRNOG00000002449	630.621696605064	-0.210418549402815	0.0607130117038659	-3.46579000938306	0.000528676017536226	0.0177752625451625
ENSRNOG00000002471	37.6817057827957	-0.587966310745763	0.196537652939937	-2.99162171701241	0.00277499889607574	0.0485384199972555
ENSRNOG00000002607	565.591300898837	-0.575050138782077	0.156364501263331	-3.67762589421524	0.000235414892318542	0.010506865253037
ENSRNOG00000002636	3504.26897883076	-0.267041568806032	0.0709753848108625	-3.76245327190057	0.000168254751937418	0.00854259864702395
ENSRNOG00000002960	45.0335856747083	-0.775981166708712	0.232980184130928	-3.33067453613408	0.000866358320694865	0.023876140969241
ENSRNOG00000003005	429.352834919076	-0.63807506328086	0.0900891402114407	-7.0827078800318	1.4136446917749e-12	3.05549202665061e-09
ENSRNOG00000003026	686.392118453816	-0.219504878656882	0.0584178250271679	-3.75749830731971	0.000171620527500978	0.00862663980428506
ENSRNOG00000003068	74.9080754658851	-0.543743548677071	0.136946581174076	-3.97047917527714	7.17282257259045e-05	0.00459850870861413
ENSRNOG00000003237	854.885219794275	-0.698753124751857	0.150636760019272	-4.63866273187542	3.50670764889812e-06	0.000461360754155031
ENSRNOG00000003307	1066.87975538291	-0.188010564997437	0.0556620276210298	-3.377716785265	0.000730903159682741	0.0213485807065635
ENSRNOG00000003455	256.534230002683	-0.279444684415772	0.0903991124255485	-3.09123261189007	0.00199327416291196	0.0394873114619919
ENSRNOG00000003463	1113.06627348299	-0.501230360329488	0.159422887196305	-3.1440301273198	0.00166638282900505	0.0356106952017605
ENSRNOG00000003470	421.735798600607	-0.229232521214353	0.0724956018549497	-3.16201969980199	0.00156678964551275	0.034455708338093
ENSRNOG00000003515	316.618100518625	-0.489086763345755	0.154045561896089	-3.17494874455175	0.00149862970143249	0.0339944038720744
ENSRNOG00000003699	143.150218869969	-0.385982054234244	0.119579551054204	-3.22782658766867	0.00124734565256817	0.0306369151353188
ENSRNOG00000003720	140.671852710509	-0.675465085429648	0.187394672338942	-3.60450527754563	0.000312748094279701	0.0127019627074202
ENSRNOG00000003743	861.520188574709	-0.191691270526416	0.0570637242071539	-3.35924921111939	0.000781545527841324	0.0222437985120368
ENSRNOG00000003809	1383.29316154484	-0.660499132710758	0.124469471979148	-5.30651510132068	1.11740907646434e-07	3.07389078671009e-05
ENSRNOG00000003827	333.598686733327	-0.284681269510215	0.0886988829728102	-3.20952485498021	0.00132954551175129	0.0319160207865325
