baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSRNOG00000034015	1730.17042436974	-0.283225598239626	0.0730245934818004	-3.87849606188103	0.000105104227854288	0.0254067574123605
ENSRNOG00000036960	621.997503269276	-0.403179559541325	0.112515365374126	-3.58332889202028	0.000339243019941621	0.0474245392817185
ENSRNOG00000037871	5709.54987261349	-0.517898080032975	0.143791505199577	-3.60172931853068	0.000316107408729736	0.0469625591607291
ENSRNOG00000038166	1177.26566733829	-0.397399409248942	0.113055733731444	-3.5150752300006	0.000439629430539301	0.0475443439114248
ENSRNOG00000039454	244.156674109384	-0.382819860601456	0.0788927205085739	-4.8524104395646	1.21969869510947e-06	0.00392463673432868
ENSRNOG00000039464	2279.03644239684	-0.431231849143234	0.119659468703487	-3.60382553771667	0.000313567574396152	0.0469625591607291
ENSRNOG00000043167	89.8038413089342	-0.508312816130388	0.142049242664974	-3.57842679477888	0.000345668657272673	0.0475443439114248
ENSRNOG00000046171	191.583144460411	-0.646485966230165	0.161897554169693	-3.99317932593688	6.51932259357191e-05	0.022922333349459
ENSRNOG00000050231	500.585915459898	-0.513390436815479	0.126016303606338	-4.07400012635872	4.6212456200033e-05	0.0206231972803455
ENSRNOG00000050550	287.082831840602	-0.536211224695664	0.144158991874067	-3.71958223156888	0.000199552571990256	0.0373452982710152
ENSRNOG00000053592	149.043687681506	-0.832123030895391	0.210169553783723	-3.95929389349942	7.51716859076239e-05	0.0242282519885045
ENSRNOG00000055527	401.065031803189	-0.428468019298153	0.122586959434035	-3.49521695681435	0.00047367655223934	0.0475443439114248
ENSRNOG00000056376	224.132189339997	-0.345828230977379	0.0908793647681231	-3.80535484441109	0.000141601038447449	0.0298726699837409
ENSRNOG00000059479	6519.53804001677	-0.242898531125219	0.0618402664593558	-3.92783771856584	8.57130129972788e-05	0.0242567826782299
ENSRNOG00000059618	105.684263963627	-0.627270776300919	0.171664959027937	-3.65404087038424	0.000258145148790238	0.0447053456927332
ENSRNOG00000059801	351.731824925077	-0.482454088666562	0.137313877207793	-3.51351297099039	0.000442222821901571	0.0475443439114248
ENSRNOG00000060694	517.474225461078	-0.365292658205481	0.104264369042554	-3.5035234141818	0.000459146288676818	0.0475443439114248
