Geneid	3-FC
ENSRNOG00000031113	111
ENSRNOG00000031459	210
ENSRNOG00000031328	574
ENSRNOG00000045583	7
ENSRNOG00000019376	454
ENSRNOG00000026861	363
ENSRNOG00000050831	1
ENSRNOG00000047703	0
ENSRNOG00000046317	0
ENSRNOG00000019280	10
ENSRNOG00000019127	144
ENSRNOG00000048663	0
ENSRNOG00000046802	0
ENSRNOG00000049902	0
ENSRNOG00000055247	0
ENSRNOG00000060288	6
ENSRNOG00000033061	0
ENSRNOG00000057670	0
ENSRNOG00000049720	0
ENSRNOG00000049529	0
ENSRNOG00000047370	0
ENSRNOG00000047230	150
ENSRNOG00000031210	0
ENSRNOG00000032062	1
ENSRNOG00000034101	2
ENSRNOG00000032817	3
ENSRNOG00000047429	0
ENSRNOG00000028882	4
ENSRNOG00000052304	0
ENSRNOG00000033483	1
ENSRNOG00000032226	1
ENSRNOG00000059074	1
ENSRNOG00000028877	0
ENSRNOG00000031178	3
ENSRNOG00000019082	0
ENSRNOG00000050887	0
ENSRNOG00000029852	0
ENSRNOG00000002628	0
ENSRNOG00000049274	0
ENSRNOG00000047610	0
ENSRNOG00000048033	0
ENSRNOG00000047242	0
ENSRNOG00000046455	0
ENSRNOG00000055229	0
ENSRNOG00000049847	0
ENSRNOG00000049412	0
ENSRNOG00000051882	0
ENSRNOG00000048370	0
ENSRNOG00000062307	0
ENSRNOG00000047540	0
ENSRNOG00000047013	0
ENSRNOG00000042030	0
ENSRNOG00000015707	0
ENSRNOG00000002641	0
ENSRNOG00000015271	83
ENSRNOG00000056113	0
ENSRNOG00000050476	74
ENSRNOG00000060875	1
ENSRNOG00000015598	33
ENSRNOG00000050407	3
ENSRNOG00000046153	16
ENSRNOG00000047061	36
ENSRNOG00000022742	162
ENSRNOG00000059513	0
ENSRNOG00000015825	222
ENSRNOG00000015956	1166
ENSRNOG00000055983	1
ENSRNOG00000057261	0
ENSRNOG00000046704	0
ENSRNOG00000054183	34
ENSRNOG00000014791	8765
ENSRNOG00000048353	0
ENSRNOG00000015071	30
ENSRNOG00000061569	0
ENSRNOG00000041209	0
ENSRNOG00000015254	0
ENSRNOG00000047512	0
ENSRNOG00000045783	0
ENSRNOG00000015289	0
ENSRNOG00000030070	0
ENSRNOG00000057132	0
ENSRNOG00000042502	134
ENSRNOG00000042777	166
ENSRNOG00000015322	49
ENSRNOG00000051384	91
ENSRNOG00000034184	59
ENSRNOG00000033906	224
ENSRNOG00000049014	0
ENSRNOG00000022129	0
ENSRNOG00000015517	1351
ENSRNOG00000015456	177
ENSRNOG00000022994	1
ENSRNOG00000042719	0
ENSRNOG00000021996	0
ENSRNOG00000038674	0
ENSRNOG00000060136	0
ENSRNOG00000032891	0
ENSRNOG00000036304	0
ENSRNOG00000048505	0
ENSRNOG00000021913	0
ENSRNOG00000053141	0
ENSRNOG00000049710	0
ENSRNOG00000033755	0
ENSRNOG00000031899	0
ENSRNOG00000038647	0
ENSRNOG00000058224	0
ENSRNOG00000038644	0
ENSRNOG00000058893	0
ENSRNOG00000032913	0
ENSRNOG00000015743	0
ENSRNOG00000015753	6371
ENSRNOG00000015914	2246
ENSRNOG00000015997	498
ENSRNOG00000016274	175
ENSRNOG00000054623	0
ENSRNOG00000016279	162
ENSRNOG00000046037	0
ENSRNOG00000028628	664
ENSRNOG00000016565	67
ENSRNOG00000016574	410
ENSRNOG00000016608	278
ENSRNOG00000042927	0
ENSRNOG00000038625	0
ENSRNOG00000016687	213
ENSRNOG00000042414	668
ENSRNOG00000038622	240
ENSRNOG00000050348	259
ENSRNOG00000016829	135
