Geneid	12-FC
ENSRNOG00000049256	0
ENSRNOG00000046712	0
ENSRNOG00000054816	0
ENSRNOG00000049881	0
ENSRNOG00000047145	179
ENSRNOG00000046353	87
ENSRNOG00000054466	44
ENSRNOG00000057057	16
ENSRNOG00000053328	34
ENSRNOG00000023081	0
ENSRNOG00000016368	341
ENSRNOG00000016286	4
ENSRNOG00000053056	0
ENSRNOG00000016011	298
ENSRNOG00000019582	350
ENSRNOG00000055235	0
ENSRNOG00000019549	974
ENSRNOG00000019544	152
ENSRNOG00000019501	599
ENSRNOG00000019489	375
ENSRNOG00000054876	7
ENSRNOG00000024280	12
ENSRNOG00000019358	40
ENSRNOG00000057689	1
ENSRNOG00000055223	0
ENSRNOG00000055166	0
ENSRNOG00000018960	12209
ENSRNOG00000052241	0
ENSRNOG00000018858	4
ENSRNOG00000053113	3
ENSRNOG00000018808	632
ENSRNOG00000054156	0
ENSRNOG00000024077	21
ENSRNOG00000018773	217
ENSRNOG00000059321	5
ENSRNOG00000055161	10
ENSRNOG00000018690	639
ENSRNOG00000033265	0
ENSRNOG00000059050	0
ENSRNOG00000059359	0
ENSRNOG00000060413	0
ENSRNOG00000018191	10
ENSRNOG00000060991	4
ENSRNOG00000059866	219
ENSRNOG00000018163	308
ENSRNOG00000055098	0
ENSRNOG00000018052	262
ENSRNOG00000004144	20
ENSRNOG00000060056	0
ENSRNOG00000016919	1118
ENSRNOG00000057561	15
ENSRNOG00000016728	1477
ENSRNOG00000056223	344
ENSRNOG00000023531	8
ENSRNOG00000016490	30
ENSRNOG00000059546	5
ENSRNOG00000054504	0
ENSRNOG00000053507	0
ENSRNOG00000053052	0
ENSRNOG00000017030	1682
ENSRNOG00000016973	282
ENSRNOG00000029049	746
ENSRNOG00000058103	0
ENSRNOG00000046874	260
ENSRNOG00000017114	1975
ENSRNOG00000017889	249
ENSRNOG00000018007	634
ENSRNOG00000018012	1769
ENSRNOG00000018158	1145
ENSRNOG00000018207	171
ENSRNOG00000018321	6
ENSRNOG00000018524	2276
ENSRNOG00000058299	0
ENSRNOG00000018762	57
ENSRNOG00000018915	37
ENSRNOG00000058258	1
ENSRNOG00000018935	31
ENSRNOG00000030210	222
ENSRNOG00000054760	0
ENSRNOG00000058069	0
ENSRNOG00000019048	2135
ENSRNOG00000019091	1010
ENSRNOG00000019189	378
ENSRNOG00000013975	115
ENSRNOG00000014160	1375
ENSRNOG00000058152	0
ENSRNOG00000051969	1
ENSRNOG00000014582	274
ENSRNOG00000023140	54
ENSRNOG00000014965	1
ENSRNOG00000014971	142
ENSRNOG00000014997	1386
